init_name;avi_name;order;family
COPPERY TAILED COUCAL;Coppery-tailed Coucal;Cuculiformes;Cuculidae
CRAB PLOVER;Crab Plover;Charadriiformes;Dromadidae
CRANE HAWK;Crane Hawk;Accipitriformes;Accipitridae
CREAM COLORED WOODPECKER;Cream-colored Woodpecker;Piciformes;Picidae
CRESTED AUKLET;Crested Auklet;Charadriiformes;Alcidae
CRESTED CARACARA;Crested Caracara;Falconiformes;Falconidae
CRESTED COUA;Crested Coua;Cuculiformes;Cuculidae
CRESTED FIREBACK;Bornean Fireback;Galliformes;Phasianidae
CRESTED KINGFISHER;Crested Kingfisher;Coraciiformes;Alcedinidae
CRESTED NUTHATCH;White-breasted Nuthatch;Passeriformes;Sittidae
CRESTED OROPENDOLA;Crested Oropendola;Passeriformes;Icteridae
CRESTED SERPENT EAGLE;Crested Serpent-Eagl;Accipitriformes;Accipitridae
CRESTED SHRIKETIT;Eastern Shriketit;Passeriformes;Falcunculidae
CRESTED WOOD PARTRIDGE;Crested Partridge;Galliformes;Phasianidae
CRIMSON CHAT;Crimson Chat;Passeriformes;Meliphagidae
CRIMSON SUNBIRD;Crimson Sunbird;Passeriformes;Nectariniidae
CROW;American Crow;Passeriformes;Corvidae
CUBAN TODY;Cuban Tody;Coraciiformes;Todidae
CUBAN TROGON;Cuban Trogon;Trogoniformes;Trogonidae
CURL CRESTED ARACURI;Curl-crested Aracari;Piciformes;Ramphastidae
D-ARNAUDS BARBET;D'Arnaud's Barbet;Piciformes;Ramphastidae
DALMATIAN PELICAN;Dalmatian Pelican;Pelecaniformes;Pelecanidae
DARJEELING WOODPECKER;Darjeeling Woodpecker;Piciformes;Picidae
DARK EYED JUNCO;Dark-eyed Junco;Passeriformes;Passerellidae
DAURIAN REDSTART;Daurian Redstart;Passeriformes;Muscicapidae
DEMOISELLE CRANE;Demoiselle Crane;Gruiformes;Gruidae
DOUBLE BARRED FINCH;Double-barred Finch;Passeriformes;Estrildidae
DOUBLE BRESTED CORMARANT;Double-crested Cormorant;Pelecaniformes;Phalacrocoracidae
DOUBLE EYED FIG PARROT;Double-eyed Fig-Parrot;Psittaciformes;Psittaculidae
DOWNY WOODPECKER;Downy Woodpecker;Piciformes;Picidae
DUNLIN;Dunlin;Charadriiformes;Scolopacidae
DUSKY LORY;Dusky Lory;Psittaciformes;Psittaculidae
